Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-02-21 00:00:00-05:00,103.48099597750732,103.56991807380818,101.69275505808558,101.78166961669922,3639600,0.0,0.0,0.0
2025-02-24 00:00:00-05:00,102.41398443683731,102.70543665385382,101.48528106037817,101.9792709350586,5415600,0.0,0.0,0.0
2025-02-25 00:00:00-05:00,101.99903851392777,102.07807871167844,99.92428231794536,100.4676742553711,6021500,0.0,0.0,0.0
2025-02-26 00:00:00-05:00,100.33922753695427,101.3766093571344,100.05271248625986,100.28983306884766,5079500,0.0,0.0,0.0
2025-02-27 00:00:00-05:00,100.95177769773545,101.3667274105774,99.26727030579188,99.32160949707031,3727300,0.0,0.0,0.0
2025-02-28 00:00:00-05:00,99.63776274626578,100.89743851680382,98.89677788567725,100.77394104003906,5690800,0.0,0.0,0.0
2025-03-03 00:00:00-05:00,101.10984271285375,101.80143305168319,99.30184552195696,99.76619720458984,6074500,0.0,0.0,0.0
2025-03-04 00:00:00-05:00,99.46981237759462,100.09223697439575,98.02736268983385,98.97582244873047,7329500,0.0,0.0,0.0
2025-03-05 00:00:00-05:00,98.96592850188428,100.5368202041948,98.26446379274238,100.25030517578125,4899600,0.0,0.0,0.0
2025-03-06 00:00:00-05:00,99.37100808137956,100.22560848052649,98.00759116086043,98.45218658447266,4829600,0.0,0.0,0.0
2025-03-07 00:00:00-05:00,97.98782981295466,99.44016122045494,96.89117171087025,99.08448791503906,5501700,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,97.59265334967172,98.03724882743832,95.8241684235384,96.61455535888672,6896200,0.0,0.0,0.0
2025-03-11 00:00:00-04:00,95.61668801835862,96.61454977053796,94.39159512334976,95.19185638427734,6699400,0.0,0.0,0.0
2025-03-12 00:00:00-04:00,96.16007418152901,96.47622741088759,94.4014713721165,95.66608428955078,4698800,0.0,0.0,0.0
2025-03-13 00:00:00-04:00,95.34004697017136,95.66608210046148,93.48264773240284,93.69999694824219,4763600,0.0,0.0,0.0
2025-03-14 00:00:00-04:00,94.43111047743686,95.63644703160915,93.92723867216911,95.4190902709961,3486000,0.0,0.0,0.0
2025-03-17 00:00:00-04:00,95.41909099405831,96.55032454967328,95.41909099405831,96.10079193115234,3031100,0.0,0.0,0.0
2025-03-18 00:00:00-04:00,95.75499523019961,95.75499523019961,93.99639248730412,94.75714111328125,4424100,0.0,0.0,0.0
2025-03-19 00:00:00-04:00,95.1226970477702,96.62443061397074,94.79666189406625,95.8834457397461,5875000,0.0,0.0,0.0
