Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-02-21 00:00:00-05:00,119.99249336828811,120.0421868498402,116.64832829460435,116.70795440673828,9057600,0.0,0.0,0.0
2025-02-24 00:00:00-05:00,117.16014498037707,117.48810377730919,114.89426162368447,115.03836059570312,7447600,0.0,0.0,0.0
2025-02-25 00:00:00-05:00,114.7948884406502,114.89923414757328,112.77248333245319,113.54765319824219,10433600,0.0,0.0,0.0
2025-02-26 00:00:00-05:00,114.66071649856897,115.86819082702554,113.90541951498822,114.78494262695312,7630600,0.0,0.0,0.0
2025-02-27 00:00:00-05:00,115.41104591921795,115.5303057385908,110.55629401464942,110.6059799194336,10100000,0.0,0.0,0.0
2025-02-28 00:00:00-05:00,110.10906669355042,112.1811575554332,109.16991748878108,112.0668716430664,14172200,0.0,0.0,0.0
2025-03-03 00:00:00-05:00,112.64328798578455,112.871859821275,107.85312866805447,108.65811157226562,12516200,0.0,0.0,0.0
2025-03-04 00:00:00-05:00,107.85312886984734,110.49169068939737,106.46676099648832,108.57363891601562,17721000,0.0,0.0,0.0
2025-03-05 00:00:00-05:00,108.91151974300185,110.45689297136987,107.45062694811325,110.09912872314453,11931000,0.0,0.0,0.0
2025-03-06 00:00:00-05:00,107.83821735183201,109.5425961574914,106.52638976734727,107.04316711425781,16432000,0.0,0.0,0.0
2025-03-07 00:00:00-05:00,106.91894012428222,108.86680485021708,105.65680603315822,108.593505859375,11263400,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,106.44688032312472,106.64563908601534,102.89898257218569,103.97726440429688,21561800,0.0,0.0,0.0
2025-03-11 00:00:00-04:00,103.65925441060261,105.29904087768033,102.50643226040835,103.55490112304688,14832800,0.0,0.0,0.0
2025-03-12 00:00:00-04:00,105.40337734658557,106.0990481776189,103.9275704137566,105.18473815917969,10981600,0.0,0.0,0.0
2025-03-13 00:00:00-04:00,104.88164106339882,105.11517921307343,102.78470337467725,103.18719482421875,12383000,0.0,0.0,0.0
2025-03-14 00:00:00-04:00,104.53877563364424,106.41707411787746,104.50398867771041,106.30775451660156,10040800,0.0,0.0,0.0
2025-03-17 00:00:00-04:00,106.2232857050208,107.80841240175475,105.91519973415889,107.04814147949219,10148800,0.0,0.0,0.0
2025-03-18 00:00:00-04:00,106.28787977287105,106.39719937999219,105.03071187313958,105.41829681396484,11486600,0.0,0.0,0.0
2025-03-19 00:00:00-04:00,105.95991953080305,108.0419430407839,105.51767482399246,106.78974914550781,8838600,0.0,0.0,0.0
2025-03-20 00:00:00-04:00,105.57729508560585,107.1972009548968,105.41828201315097,106.02947998046875,7145200,0.0,0.0,0.0
2025-03-21 00:00:00-04:00,104.70771471153145,106.46178695419218,104.32012981600737,106.31768798828125,10425400,0.0,0.0,0.0
2025-03-24 00:00:00-04:00,108.0872938192722,108.5900458378919,107.80356488851818,108.33120727539062,8200200,0.1875,0.0,0.0
2025-03-25 00:00:00-04:00,108.26151720984912,108.83395769387576,108.20676143868775,108.68960571289062,7481800,0.0,0.0,0.0
