Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-20 00:00:00+05:30,1960.627666101409,2166.3053710765817,1949.944455419964,2156.770263671875,97324,0.0,0.0
2025-02-21 00:00:00+05:30,2139.547191491838,2183.57829158277,2127.4662690098767,2174.492431640625,32597,0.0,0.0
2025-02-24 00:00:00+05:30,2163.0103837792044,2201.550088270066,2085.931218556127,2197.05712890625,35879,0.0,0.0
2025-02-25 00:00:00+05:30,2171.5972509920366,2240.4393311855442,2166.1058556447006,2228.20849609375,31288,0.0,0.0
2025-02-27 00:00:00+05:30,2212.6329504744517,2264.2020451807034,2172.8451993493577,2198.8544921875,25375,0.0,0.0
2025-02-28 00:00:00+05:30,2169.000988736854,2177.4876897279432,2089.5756468212803,2132.7080078125,62966,0.0,0.0
2025-03-03 00:00:00+05:30,2146.636275965023,2159.6159371685326,1996.870954386068,2019.6851806640625,43011,0.0,0.0
2025-03-04 00:00:00+05:30,2014.842682402538,2060.0218852661233,1972.9083946617518,2015.6414794921875,25813,0.0,0.0
2025-03-05 00:00:00+05:30,2010.8488746746377,2125.4693061535995,1999.2170780098168,2088.277587890625,36669,0.0,0.0
2025-03-06 00:00:00+05:30,2099.560012359277,2145.488041502282,2093.219849963252,2119.62841796875,12881,0.0,0.0
2025-03-07 00:00:00+05:30,2119.6286018246656,2142.3430095123704,2056.7771356778926,2084.53369140625,17059,0.0,0.0
2025-03-10 00:00:00+05:30,2081.7378548930974,2081.7378548930974,1956.9334271417126,1973.1080322265625,27307,0.0,0.0
2025-03-11 00:00:00+05:30,1973.1080080960633,2025.6756567979253,1918.1940605570346,2001.2139892578125,56940,0.0,0.0
2025-03-12 00:00:00+05:30,1989.183030537345,2020.184378673836,1952.9897448425559,1962.0255126953125,16636,0.0,0.0
2025-03-13 00:00:00+05:30,1962.1251659293446,2006.3559021481858,1939.061332957797,1994.32470703125,58723,0.0,0.0
2025-03-17 00:00:00+05:30,1983.8912320423344,2008.8021476788554,1959.9287813281844,1970.412353515625,20354,0.0,0.0
2025-03-18 00:00:00+05:30,1970.412353515625,1970.412353515625,1970.412353515625,1970.412353515625,0,0.0,0.0
2025-03-19 00:00:00+05:30,2051.784864201183,2088.5773082962824,2016.9394423748934,2040.3028564453125,23558,0.0,0.0
2025-03-20 00:00:00+05:30,2037.008034917909,2096.714525882878,2037.008034917909,2074.698974609375,13699,0.0,0.0
2025-03-21 00:00:00+05:30,2074.698889873227,2092.5710306429105,2046.7926678607107,2061.869140625,16630,0.0,0.0
2025-03-24 00:00:00+05:30,2086.7300996106424,2117.7815397446743,1986.8365836502771,2004.3092041015625,33528,0.0,0.0
2025-03-25 00:00:00+05:30,2016.8395983637597,2027.7225690872315,1945.9506817876077,1956.9334716796875,49434,0.0,0.0
2025-03-26 00:00:00+05:30,1956.6338890228749,1974.65569752193,1929.9757114447684,1936.36572265625,19862,0.0,0.0
2025-03-27 00:00:00+05:30,1921.9882713424777,1978.8990928835276,1916.9960940143153,1936.3157958984375,31221,0.0,0.0
2025-03-28 00:00:00+05:30,1942.9554328793004,1998.8678194369782,1942.9554328793004,1973.40771484375,33964,0.0,0.0
2025-04-01 00:00:00+05:30,1973.4076295030377,1973.4076295030377,1922.986640234177,1939.31103515625,19249,0.0,0.0
2025-04-02 00:00:00+05:30,1961.925605558359,1961.925605558359,1916.197214448068,1933.769775390625,52831,0.0,0.0
2025-04-03 00:00:00+05:30,1933.769884830823,1961.0271002848845,1909.8074333304626,1927.5296630859375,17844,0.0,0.0
2025-04-04 00:00:00+05:30,1927.5295527036005,1938.3125821336607,1897.6263386869546,1914.449951171875,17760,0.0,0.0
2025-04-07 00:00:00+05:30,1667.5368754366013,1956.9333461539654,1667.5368754366013,1925.3828125,44972,0.0,0.0
2025-04-08 00:00:00+05:30,1934.468649520568,1989.8818159971572,1927.0802029478245,1970.861572265625,22066,0.0,0.0
2025-04-09 00:00:00+05:30,1966.9177949202467,1975.803894613264,1937.11452174364,1949.0457763671875,47082,0.0,0.0
2025-04-11 00:00:00+05:30,1957.9816846026058,2120.676675529573,1957.9816846026058,2087.129150390625,69590,0.0,0.0
2025-04-15 00:00:00+05:30,2145.6375826915782,2145.6375826915782,2083.235372864578,2111.29150390625,39982,0.0,0.0
2025-04-16 00:00:00+05:30,2139.6472292175554,2140.6456646954916,2103.2043342728794,2126.567626953125,10689,0.0,0.0
