title,description,published date,url,publisher
"Safari Industries to Raise Rs 500 Crore via QIP, Extends MD Tenure - TipRanks","Safari Industries to Raise Rs 500 Crore via QIP, Extends MD Tenure  TipRanks","Tue, 10 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQM3JKcUxGWmhWdjY4VWRwMVQ1NUxUdXpINW1FdzZEUFl3eXh4SkVoN0s4c3BSWVhJQWNEVGpaUjNiZGNSYllIUGxWbm5makJ5QkdQVlZySWZ2QTdNZS1yWkVCaVZxS1lqd0pOTzhuQW9PZG5sNU4yQ2ZpSmJkNjNyOWVSTFRaUV9nS0c0cWFFM3FFUlhVUnAySnkwNk1LVjV0bXlDRU0wbTZpdlhKaVJVOUxKMGdBYTIx?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}"
"Safari Industries Schedules Plant Visit and Analyst Meeting for February 20, 2026 - scanx.trade","Safari Industries Schedules Plant Visit and Analyst Meeting for February 20, 2026  scanx.trade","Fri, 20 Feb 2026 22:27:21 GMT",https://news.google.com/rss/articles/CBMizwFBVV95cUxNaWtMRHB6c1dQd0NvbnJxcC1IcEdlMW1BZU9aR1JPaHl4YlIyLTRoc3g2eTJtM2hfTkdxalctZi1UcnZ0ZGxmc2duYTZTQXpSOFI3aFp4WXZ2YXlhVUNXNWJaTEVESzktTHJfcFI3S1ZETHJiR01razBOOXUyOEgtWk9RR3d2NlhmanVNMWFqWTU1MGlrZ2dYX3hhR0tjMlB4SV8tQ2x1LVhVWUxMUHJsSEdEOFpSTmVoUElCN1N3anRWdDZTMnU1T1N1Qkd0cDg?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://scanx.trade', 'title': 'scanx.trade'}"
Safari Industries (India) Ltd Hits Intraday Low Amid Price Pressure - Markets Mojo,Safari Industries (India) Ltd Hits Intraday Low Amid Price Pressure  Markets Mojo,"Wed, 11 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQa0ZZdk9fSWpKX0RFb1p3SVFyZUtRS21JM3ZueE1iUUx0RUxTcHg0SWVZcHVlVnRtRXZiLXdWN2JEWmdOa05uc0UwLTJvMVZleDZ0dURlZktoNjdyZENwa1lnUkxoNE02TjRZWG1EY21JRktCb0tabXpNMTgzTURtaFpUYXRiMVRxdmtMREIxb0RIbDlrcFBVY1FHVnZfZW1UZHlKSmg4SEpLVkRvRDNabW05TEJQQlh0ZXktM3VWOEs?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
"Safari Industries to raise up to Rs 500 crore via QIP, renews MD’s term and announces company secretary’s exit - TipRanks","Safari Industries to raise up to Rs 500 crore via QIP, renews MD’s term and announces company secretary’s exit  TipRanks","Tue, 10 Feb 2026 09:35:38 GMT",https://news.google.com/rss/articles/CBMi8AFBVV95cUxNc3pwdFBMLWJFT0luMUNpRF9UeHhWMUhVM3NaNi1NTEtsX21GTnF6WFc1TVBOZllpdUw4OURiOEh3WXlVTFpGMlhUQUIyQmtKVjRlQXNQZERiUFluNHA2emtWSWdxdU5vWnFleER5Mk1NeGlWVnhWQXZnVGZ1eXlDM2pqTTFkUXNsLTNIV2pOaGtqNTN6bjNMU0lGOGF1OXdlV19McTh2c29CUjNPdnBHRW9vMnJtOEFYRms0ZTdGUjg1WHdVYVhSNS1DSTVyOG1lSzEtMEZVcHdZaXVJaUVZR3BXVE1OQVA0Z1A4dHp5aXc?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}"
Safari Industries (India) Ltd Falls to 52-Week Low Amidst Continued Downtrend - Markets Mojo,Safari Industries (India) Ltd Falls to 52-Week Low Amidst Continued Downtrend  Markets Mojo,"Mon, 16 Feb 2026 07:20:00 GMT",https://news.google.com/rss/articles/CBMizgFBVV95cUxNZVdMbXo4eVFaNEZzSFJ6NnZrVkpnTldwYkpRbEZqeUQyeHBHRm96MGUyQVE1YlowZzdUMjM5UE9nSFhyOFBDamUwTG1fZHBscHFiZ0pzRWNaWnpiemJQMDBxNHdacHZDblRLQkNXekZ3Rm9LTFhxcVNKVlEwU0pRZnpnM0xfVTlsNDdfZGJKY2FGOXNna2xLMFp3bzFId3dHVVA4NEJRbG4yemluRk95QUdFOU1JNXJuYzY4RUN5UVV5QXBWVFlnRXJfZTVZUQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
"Safari Industries to Raise Up to Rs 500 Crore via QIP, Extends MD Tenure - TipRanks","Safari Industries to Raise Up to Rs 500 Crore via QIP, Extends MD Tenure  TipRanks","Tue, 10 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPLWo4LTVUdlBiTTROMWxIWjQwVVotaWtlcFhreEl3WlVLOVZVT0ozR0g4Y0hnR3RCUzNkODlkc0tSa2pyRWl2VjVfYTVfRjBSUWRObzlGS1Q0ZFJ0WlJjTDF3SncxUmg0bVNia0I4Ni1wdFFMRGF2YUpWbHFTVUFuMWZacWVDYXUxekF0OUpsWE9HQl9uZnRjVlhxOTNoaGtseXU1VXo0QU9laTlYQXdKalRTTjR0ZWczTEQzN19JWWl5Q00?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.tipranks.com', 'title': 'TipRanks'}"
Safari Industries (India) Ltd Falls to 52-Week Low of Rs.1771.15 - Markets Mojo,Safari Industries (India) Ltd Falls to 52-Week Low of Rs.1771.15  Markets Mojo,"Fri, 13 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxNWm40MFAyZVRMOUJ6UThIeTVjQjJOSVVTMFdUeTlDM2tKczB1cjRYYjJfc0dFSGx5ZlhVdnpCZ1NDYlI2UGFFWU9VQnkxenQydVJlbURiM0RiRkp6c3dHUFBYSDR2N09hNjl3VERlOFhVLVNMX1RuelRPUFNzeF9IbGtEYWN5Rzc3ejdLWkZJZzlPUS03dzJiN3A1ZWxsZjQ0S1JTNlc2R2QxX2pDdWRnZlBfLVQ3WVhHTkE?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
Safari Industries (India) Ltd is Rated Sell - Markets Mojo,Safari Industries (India) Ltd is Rated Sell  Markets Mojo,"Sat, 31 Jan 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxNaklZd0pIR2IzV3FyYUpPcFZKU3RIdXp3clJBSzVDX3NDcHR3TXJ6OTRRX3pQUEI4Tmt3OEVKbWJTaEx3TzRFTXpoMXJobFNUSm5DRDJqUk44UHptVlk0MVV4N2NrU0RodURBSFZ0NzFVQ3VnMlQ3anF0WmVPMUlNVjY4RWFSZ2ZmWWVGZkZyRU85R1lEWWQyX3g1Y0d3MjNqbW5tY1ln?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
Safari Industries (India) Ltd is Rated Sell - Markets Mojo,Safari Industries (India) Ltd is Rated Sell  Markets Mojo,"Sat, 21 Feb 2026 00:02:16 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxPLUQzUGNwS25TaFVmV0lyQTJEdVY3cFRvcThiMzROcG5uMjNpeTJRVC1DSHdrREhaZFZZdXF6ZXp1SFF6Y0lfZzg4R3Z5eEt5RU56RW1zNnNfa2FBLXN3bTFWZmJhNWcxMnkxV3RoalA1Z3RsM1o1Vkt3dXdrdjNKVFNCZ0ZlckZqV3BXOGM5RENKWE51V3VrQXlBNmQtSlF6SUtzUUdR?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
Safari Industries Q3 FY26: Margin Compression Weighs Despite Revenue Growth - Markets Mojo,Safari Industries Q3 FY26: Margin Compression Weighs Despite Revenue Growth  Markets Mojo,"Mon, 09 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOUTR2MUc2NTk0ZFJQb0Rla1R0LWlpbEplNjluZV9tVDd4dkxmc1RzSWtuemRhS3JOaFFROTZodG1wQjJXZkVnMG9OcGxpbm9WQnh5ekNfcW1FRVZYakV2Zk9GcXhqaHF0TEhhVVNEbkhUU0pvdnpxRWpQeXU5Mzd5eTNSQ21jclpYMzltMWVZS0EyQTZIcFhzYjJWbnN3V3NIbDhhc0t5d21admt3SW1ja0U2Z1pEUVNRVFo2eHllVC1fbUwtM1RjVl84UGRVVEthRldtYUJSX0NsTUk?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"{'href': 'https://www.marketsmojo.com', 'title': 'Markets Mojo'}"
