,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
96,1000,30315,,Sale at price 30.32 per share.,Majumdar (Sonali),UNREPORTED,,2024-09-19,D
97,604,18356,,Sale at price 30.39 per share.,Mehta (Nrupal),UNREPORTED,,2024-09-19,D
98,1221,37421,,Sale at price 30.65 per share.,Belgur (Veeresh),UNREPORTED,,2024-09-18,D
99,263,7968,,Sale at price 30.30 per share.,Kumar (Abhishek),UNREPORTED,,2024-09-16,D
100,1704,51625,,Sale at price 30.30 per share.,Kumar (Abhishek),UNREPORTED,,2024-09-16,D
101,1967,46,,Other at price 0.02 per share.,Kumar (Abhishek),UNREPORTED,,2024-09-13,D
102,1721,40,,Other at price 0.02 per share.,Savana (Ravi),UNREPORTED,,2024-09-13,D
103,1721,40,,Other at price 0.02 per share.,Belgur (Veeresh),UNREPORTED,,2024-09-13,D
104,7943,236725,,Sale at price 29.80 per share.,Jain (Pushkar),UNREPORTED,,2024-09-13,D
105,1500,44774,,Sale at price 29.85 per share.,Majumdar (Sonali),UNREPORTED,,2024-09-12,D
106,2050000,61040800,,Sale at price 29.78 per share.,Safari Investment Pvt Ltd,Promoter,,2024-09-04,D
107,500,14835,,Sale at price 29.67 per share.,Singh (Ajendra),UNREPORTED,,2024-09-02,D
108,750,28225,,Sale at price 37.63 per share.,Ghorpade (Manoj),UNREPORTED,,2024-09-02,D
109,1557,45298,,Sale at price 29.09 per share.,Jain (Pushkar),UNREPORTED,,2024-08-30,D
110,1443,6021,,Other at price 4.17 per share.,Jain (Pushkar),UNREPORTED,,2024-08-30,D
111,3000,12519,,Other at price 4.17 per share.,Poddar (Vineet),UNREPORTED,,2024-08-30,D
112,500,14781,,Sale at price 29.56 per share.,Singh (Ajendra),UNREPORTED,,2024-08-30,D
113,4500,130204,,Sale at price 28.93 per share.,Sinha (Paritosh),UNREPORTED,,2024-08-30,D
114,850,24310,,Sale at price 28.60 per share.,Ranjan (Nishant),UNREPORTED,,2024-08-29,D
115,800,22622,,Sale at price 28.28 per share.,Goswami (Aritra),UNREPORTED,,2024-08-28,D
116,3000,85095,,Sale at price 28.36 per share.,Sinha (Paritosh),UNREPORTED,,2024-08-27,D
117,579,16495,,Sale at price 28.49 per share.,Thakker (Ketan),UNREPORTED,,2024-08-26,D
118,150,4247,,Sale at price 28.32 per share.,Thakker (Ketan),UNREPORTED,,2024-08-26,D
119,600,17095,,Sale at price 28.49 per share.,Sinha (Paritosh),UNREPORTED,,2024-08-23,D
120,923,26217,,Sale at price 28.41 per share.,Majumdar (Anindya),UNREPORTED,,2024-08-23,D
121,1500,42251,,Sale at price 28.17 per share.,Bhartwal (Deepak),UNREPORTED,,2024-08-22,D
122,1722,40,,Other at price 0.02 per share.,Deo (Atul),UNREPORTED,,2024-08-22,D
123,240,6791,,Sale at price 28.30 per share.,Deo (Atul),UNREPORTED,,2024-08-22,D
124,2461,58,,Other at price 0.02 per share.,Goswami (Aritra),UNREPORTED,,2024-08-22,D
125,1200,33599,,Sale at price 28.00 per share.,Goswami (Aritra),UNREPORTED,,2024-08-22,D
126,5514,131,,Other at price 0.02 per share.,Bhartwal (Deepak),UNREPORTED,,2024-08-21,D
127,537,15294,,Sale at price 28.48 per share.,Deo (Atul),UNREPORTED,,2024-08-21,D
128,2359,56,,Other at price 0.02 per share.,Gautam (Siddharth),UNREPORTED,,2024-08-21,D
129,550,15476,,Sale at price 28.14 per share.,Gautam (Siddharth),UNREPORTED,,2024-08-21,D
130,450,12806,,Sale at price 28.46 per share.,Ghorpade (Manoj),UNREPORTED,,2024-08-21,D
131,500,14239,,Sale at price 28.48 per share.,Kumar (Santosh),UNREPORTED,,2024-08-21,D
132,1000,28448,,Sale at price 28.45 per share.,Mitra (Satya Brata),UNREPORTED,,2024-08-21,D
133,1441,40980,,Sale at price 28.44 per share.,Mitra (Satya Brata),UNREPORTED,,2024-08-21,D
134,1722,40,,Other at price 0.02 per share.,Nayyar (Abhishek),UNREPORTED,,2024-08-21,D
135,2459,58,,Other at price 0.02 per share.,Ranjan (Nishant),UNREPORTED,,2024-08-21,D
136,1722,40,,Other at price 0.02 per share.,Kumar (Santosh),UNREPORTED,,2024-08-20,D
137,1727,29,,Other at price 0.02 per share.,Majumdar (Anindya),UNREPORTED,,2024-08-20,D
138,6398,152,,Other at price 0.02 per share.,Majumdar (Sonali),UNREPORTED,,2024-08-20,D
139,4949,117,,Other at price 0.02 per share.,Mitra (Satya Brata),UNREPORTED,,2024-08-20,D
140,50,1400,,Sale at price 28.00 per share.,Nayyar (Abhishek),UNREPORTED,,2024-08-20,D
141,9837,234,,Other at price 0.02 per share.,Poddar (Vineet),UNREPORTED,,2024-08-20,D
142,3754,89,,Other at price 0.02 per share.,Saraf (Sangeeta),UNREPORTED,,2024-08-20,D
143,2049,48,,Other at price 0.02 per share.,Singh (Ajendra),UNREPORTED,,2024-08-20,D
144,6890,163,,Other at price 0.02 per share.,Sinha (Paritosh),UNREPORTED,,2024-08-20,D
145,9943,236,,Other at price 0.02 per share.,Jain (Pushkar),UNREPORTED,,2024-08-20,D
146,1336,31,,Other at price 0.02 per share.,Thakker (Ketan),UNREPORTED,,2024-08-14,D
147,3000,85913,,Sale at price 28.64 per share.,Sinha (Paritosh),UNREPORTED,,2024-08-13,D
148,2090,59399,,Sale at price 28.42 per share.,Chandel (Mandeep Kumar),UNREPORTED,,2024-08-13,D
149,100,2854,,Sale at price 28.55 per share.,Kumar (Santosh),UNREPORTED,,2024-08-12,D
